,b,cmpaz,cmpinc,delta,depmax,depmen,depmin,e,idep,iftype,istreg,kcmpnm,kevnm,kinst,knetwk,kstnm,lcalda,leven,lovrok,lpspol,npts,nvhdr,nzhour,nzjday,nzmin,nzmsec,nzsec,nzyear,o,stdp,stel,stla,stlo
0,0.0,90.0,90.0,0.00999999977648,189422.0,133.037734985,-138622.0,370.0,8,1,0,HHE,,HHE,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
1,0.0,0.0,90.0,0.00999999977648,96163.0,357.929473877,-95431.0,370.0,8,1,0,HHN,,HHN,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
2,0.0,90.0,0.0,0.00999999977648,77852.0,1366.34680176,-78848.0,370.0,8,1,0,HHZ,,HHZ,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
3,0.0,90.0,90.0,0.00999999977648,116829.0,-77.19556427,-108040.0,370.0,8,1,0,HHE,,HHE,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
4,0.0,0.0,90.0,0.00999999977648,108959.0,850.678710938,-82559.0,370.0,8,1,0,HHN,,HHN,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
5,0.0,90.0,0.0,0.00999999977648,56314.0,582.246398926,-84710.0,370.0,8,1,0,HHZ,,HHZ,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
6,0.0,90.0,90.0,0.00999999977648,561003.0,478.24697876,-802102.0,370.0,8,1,0,HHE,,HHE,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
7,0.0,0.0,90.0,0.00999999977648,621745.0,-938.300476074,-510378.0,370.0,8,1,0,HHN,,HHN,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
8,0.0,90.0,0.0,0.00999999977648,338694.0,2625.88525391,-369942.0,370.0,8,1,0,HHZ,,HHZ,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
9,0.0,90.0,90.0,0.00999999977648,130091.0,-2480.41210938,-140181.0,370.0,8,1,0,HHE,,HHE,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
10,0.0,0.0,90.0,0.00999999977648,108428.0,1136.49841309,-99895.0,370.0,8,1,0,HHN,,HHN,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
11,0.0,90.0,0.0,0.00999999977648,153495.0,-1332.00158691,-192648.0,370.0,8,1,0,HHZ,,HHZ,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
12,0.0,90.0,90.0,0.00999999977648,99307.0,838.592224121,-81551.0,370.0,8,1,0,HHE,,HHE,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
13,0.0,0.0,90.0,0.00999999977648,42072.0,324.123168945,-58891.0,370.0,8,1,0,HHN,,HHN,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
14,0.0,90.0,0.0,0.00999999977648,49366.0,1590.45837402,-79798.0,370.0,8,1,0,HHZ,,HHZ,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
15,0.0,90.0,90.0,0.00999999977648,44310.0,-55.4120140076,-35407.0,370.0,8,1,0,HHE,,HHE,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
16,0.0,0.0,90.0,0.00999999977648,27492.0,-852.697692871,-24309.0,370.0,8,1,0,HHN,,HHN,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
17,0.0,90.0,0.0,0.00999999977648,40623.0,1851.27648926,-45758.0,370.0,8,1,0,HHZ,,HHZ,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
18,0.0,90.0,90.0,0.00999999977648,9339.0,2012.05456543,-4155.0,370.0,8,1,0,HHE,,HHE,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
19,0.0,0.0,90.0,0.00999999977648,6656.0,-2495.09008789,-15367.0,370.0,8,1,0,HHN,,HHN,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
20,0.0,90.0,0.0,0.00999999977648,10690.0,1689.51171875,-6385.0,370.0,8,1,0,HHZ,,HHZ,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
21,0.0,90.0,90.0,0.00999999977648,189201.0,-82.4346084595,-174534.0,370.0,8,1,0,HHE,,HHE,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
22,0.0,0.0,90.0,0.00999999977648,112954.0,-118.720329285,-109111.0,370.0,8,1,0,HHN,,HHN,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
23,0.0,90.0,0.0,0.00999999977648,140062.0,-107.010215759,-176523.0,370.0,8,1,0,HHZ,,HHZ,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
24,0.0,90.0,90.0,0.00999999977648,47851.0,-1267.74047852,-60456.0,370.0,8,1,0,HHE,,HHE,IG,MOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2000.0,19.6466999054,-101.227302551
25,0.0,0.0,90.0,0.00999999977648,39201.0,-129.804107666,-49980.0,370.0,8,1,0,HHN,,HHN,IG,MOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2000.0,19.6466999054,-101.227302551
26,0.0,90.0,0.0,0.00999999977648,30712.0,-180.162322998,-29384.0,370.0,8,1,0,HHZ,,HHZ,IG,MOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2000.0,19.6466999054,-101.227302551
27,0.0,90.0,90.0,0.00999999977648,25983.0,1074.94311523,-22925.0,370.0,8,1,0,HHE,,HHE,IG,OXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1737.0,17.072599411,-96.733001709
28,0.0,0.0,90.0,0.00999999977648,31048.0,1263.56384277,-29373.0,370.0,8,1,0,HHN,,HHN,IG,OXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1737.0,17.072599411,-96.733001709
29,0.0,90.0,0.0,0.00999999977648,27404.0,1172.203125,-22705.0,370.0,8,1,0,HHZ,,HHZ,IG,OXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1737.0,17.072599411,-96.733001709
30,0.0,90.0,90.0,0.00999999977648,25631.0,175.803604126,-25825.0,370.0,8,1,0,HHE,,HHE,IG,PEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,15.9986000061,-97.1472015381
31,0.0,0.0,90.0,0.00999999977648,28027.0,748.997192383,-22559.0,370.0,8,1,0,HHN,,HHN,IG,PEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,15.9986000061,-97.1472015381
32,0.0,90.0,0.0,0.00999999977648,19692.0,431.014770508,-24810.0,370.0,8,1,0,HHZ,,HHZ,IG,PEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,15.9986000061,-97.1472015381
33,0.0,90.0,90.0,0.00999999977648,931596.0,536.25390625,-687487.0,370.0,8,1,0,HHE,,HHE,IG,PZIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2284.0,19.32970047,-99.1781005859
34,0.0,0.0,90.0,0.00999999977648,1432922.0,76.6670379639,-1075301.0,370.0,8,1,0,HHN,,HHN,IG,PZIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2284.0,19.32970047,-99.1781005859
35,0.0,90.0,0.0,0.00999999977648,510627.0,4438.12451172,-575882.0,370.0,8,1,0,HHZ,,HHZ,IG,PZIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,2284.0,19.32970047,-99.1781005859
36,0.0,90.0,90.0,0.00999999977648,118628.0,932.647888184,-116031.0,370.0,8,1,0,HHE,,HHE,IG,TLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1136.0,17.5627002716,-98.5664978027
37,0.0,0.0,90.0,0.00999999977648,99960.0,748.096618652,-93044.0,370.0,8,1,0,HHN,,HHN,IG,TLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1136.0,17.5627002716,-98.5664978027
38,0.0,90.0,0.0,0.00999999977648,97481.0,1133.70056152,-91288.0,370.0,8,1,0,HHZ,,HHZ,IG,TLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1136.0,17.5627002716,-98.5664978027
39,0.0,90.0,90.0,0.00999999977648,32037.0,70.6653594971,-35423.0,370.0,8,1,0,HHE,,HHE,IG,TOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,18.0956001282,-97.0644989014
40,0.0,0.0,90.0,0.00999999977648,29801.0,-46.6405220032,-39874.0,370.0,8,1,0,HHN,,HHN,IG,TOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,18.0956001282,-97.0644989014
41,0.0,90.0,0.0,0.00999999977648,22049.0,934.641540527,-23033.0,370.0,8,1,0,HHZ,,HHZ,IG,TOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,18.0956001282,-97.0644989014
42,0.0,90.0,90.0,0.00999999977648,77639.0,144.614852905,-72782.0,370.0,8,1,0,HHE,,HHE,IG,TPIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1482.0,18.4202003479,-97.3619995117
43,0.0,0.0,90.0,0.00999999977648,68170.0,613.024841309,-93297.0,370.0,8,1,0,HHN,,HHN,IG,TPIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1482.0,18.4202003479,-97.3619995117
44,0.0,90.0,0.0,0.00999999977648,60387.0,615.811706543,-52353.0,370.0,8,1,0,HHZ,,HHZ,IG,TPIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1482.0,18.4202003479,-97.3619995117
45,0.0,90.0,90.0,0.00999999977648,75955.0,-85.8125457764,-57781.0,370.0,8,1,0,HHE,,HHE,IG,TXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.2542991638,-97.7611999512
46,0.0,0.0,90.0,0.00999999977648,62054.0,313.812408447,-58115.0,370.0,8,1,0,HHN,,HHN,IG,TXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.2542991638,-97.7611999512
47,0.0,90.0,0.0,0.00999999977648,35881.0,868.245727539,-44293.0,370.0,8,1,0,HHZ,,HHZ,IG,TXIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.2542991638,-97.7611999512
48,0.0,90.0,90.0,0.00999999977648,63579.0,150.50012207,-54897.0,370.0,8,1,0,HHE,,HHE,IG,YAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1311.0,18.8624992371,-99.0670013428
49,0.0,0.0,90.0,0.00999999977648,53238.0,-25.6696033478,-62807.0,370.0,8,1,0,HHN,,HHN,IG,YAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1311.0,18.8624992371,-99.0670013428
50,0.0,90.0,0.0,0.00999999977648,40776.0,179.752624512,-41949.0,370.0,8,1,0,HHZ,,HHZ,IG,YAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1311.0,18.8624992371,-99.0670013428
51,0.0,0.0,90.0,0.00999999977648,21435.0,47.0515136719,-24132.0,370.0,8,1,0,HHN,,HHN,IG,YOIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,16.85779953,-97.5458984375
